frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
294,332,47.615,66.71,52.96,0.393,-0.035,3.658,0.115,-1.4,0.543,12.343,60,
295,332,47.781,60.64,19.89,0.3,0,3.77,0.112,-1.7,0.575,12.231,60,
296,332,47.784,86.19,3.03,0.3,0,3.77,0.112,-1.7,0.575,12.231,60,
297,333,47.955,78.16,7.25,0.3,0,3.798,0.111,-1.79,0.576,12.202,60,
298,333,47.959,95.33,3.77,0.3,0,3.798,0.111,-1.79,0.576,12.202,60,
299,334,48.139,86.35,14.01,0.3,0,3.914,0.108,-1.35,0.582,12.087,60,
300,334,48.142,108.03,3.15,0.3,0,3.914,0.108,-1.35,0.582,12.087,60,
301,335,48.307,97.83,11.44,0.3,0,4,0.108,0,0.569,12.001,61,
302,335,48.313,105.9,5.45,0.3,0,4,0.108,0,0.569,12.001,61,
303,336,48.487,95.88,19.26,0.381,0.0087,4.054,0.108,0,0.531,11.947,67,
304,336,48.509,90.76,22.25,0.381,-0.0524,4.054,0.108,0,0.531,11.947,67,
305,337,48.71,82.18,36.61,0.388,-0.0437,4.159,0.108,0,0.538,11.841,60,
306,338,48.756,76.15,45.5,0.388,-0.035,4.159,0.108,0,0.538,11.841,60,
307,338,48.896,69.25,9.95,0.3,0,4.243,0.108,0,0.562,11.758,64,
308,338,48.899,98.32,2.62,0.3,0,4.243,0.108,0,0.562,11.758,64,
309,339,49.049,89.16,8.13,0.3,0,4.3,0.108,0,0.567,11.701,70,
310,339,49.055,97.3,5.52,0.3,0,4.3,0.108,0,0.567,11.701,70,
